NR	var1	q2_delav	q2_delav_komm	q3_biborg	q3_biborg_underavdtype	q4_bibstr	q5_landsdel	q6_kunnskap_os	q6_kunnskap_od	q6_kunnskap_rdm	q6_kunnskap_dmp	q6_kunnskap_fair	q6_kunnskap_komm	q7a_holdn_bibans_nasjonal	q7b_holdn_vitans_OS	q7c_holdn_alltid_tilgjengelig	q7d_holdn_bib_rolle_dev	q7e_holdn_bib_rolle_edu	q7f_holdn_bib_kompetanseheving	q7g_holdn_bib_samarb_tverrf_edu	q7_holdn_komm	q8_prax_exist_policy	q8b_prax_exist_policy_plan	q9_prax_existing_tech	q9_prax_existing_tech_desc	q9_prax_existing_tech_plan	q10_prax_bib_dev_edu_vitass	q10_prax_bib_dev_edu_vitass_desc	q10_prax_bib_dev_edu_vitass_plan	q11_prax_bib_kompheving_bibans	q11_prax_bib_kompheving_bibans_desc	q11_prax_bib_kompheving_bibans_plan	q12_finalcomments	Svartid
12704211	1	uni		underavd	fakultetsbibliotek	stort	ost	4	4	4	4	4		4	4	5	5	5	5	5	Det er mange ansatte på biblioteket som ikke er oppdatert, men også flere som er veldig godt oppdatert og en økende andel som bygger det inn i undervisning mot MA, Ba og PhD	1		1	Ulike løsninger benyttes, universitetet har pr i dag ikke et eget tilbud, men anbefaler å benytte zenodo, NSD, Norstore eller Dataverse passert på de behovene forskerene har.		1	kurs og nettsider med grunnleggende veiledning samt tilbud om veiledning på zoom.		1	kurs og dialog samt involvere de som skal kompetanseheves i veiledning og kurs me forskere (skygging)			6 minutter 53 sekunder
12704235	1	hoy		underavd	Geografisk avdeling	lite	0	1	1	1	1	2		3	4	4	5	5	5	5		0	0	0		0	0		0	0		0		10 minutter 6 sekunder
12704293	1	hoy		underavd	Campusbibliotek, mitt studiested blir slått sammen med et annet studiested i 2022	lite	vest	4	4	3	3	4	"Jeg vet ikke hvordan jeg skal tolke ""relevant for min arbeidshverdag"" siden mitt studiested (som kun består av meg selv og en kollega fra et annet studiested som jobber her en dag i uken) ikke driver aktivt med forskningsdatahåndtering, men dette gjøres foreløpig sentralt på studiestedet i Østlandet. Men, jeg kan også nevne at jeg holder på med en masteroppgave på OsloMet som toucher inn på Open Science/Open Data og jeg har tatt kurset i Vitenskapelig Kommunikasjon slik at jeg vet en del om disse tingene :)"	4	4	5	5	5	5	5	Det bør generelt være tett samarbeid mellom biblioteket, forskere, IT- og kommunikasjonsavdelingene for å kunne dra nytte av hverandres kunnskap og gjensidig kompetanseheving innad i instutsjonen på tvers av seksjonene.	0	1	0		1	1	Jeg kjenner ikke til detaljene i dette, men studiestedet på Østlandet har et lite team som jobber med dette og er i ferd med å lage opplæringstiltak av noen slag. Jeg selv hadde selvfølgelig vært positiv om alle studiestedene etter hvert drev med forskningsdatahåndtering.		0		0	Til forrige spørsmål (11) så har jeg ikke hørt at hvert studiested skal drive med forskningsdatahåndtering og derfor er komeptansehevingen kanskje ikke prioritert hos alle. Sannsynligvis er det mer relevant for dem som jobber aktivt med dette. Personlig synes jeg at forskningsdata er viktig, vi bør drive og hjelpe med denne oppgaven og hadde vært glad å kunne bistå studiestedets ansatte. Jeg håper studiestedet på Østlandet svarer også på undersøkelsen din. Det er et veldig viktig og fint tema. Lykke til med Bacheloroppgaven :)	13 minutter 20 sekunder
12704484	1	hoy		hele		lite	vest	1	1	1	1	1	Har arbeidd mykje med Open access og Open source, men er ikke familiær med dei nemningane de nyttar her	5	5	5	5	5	5	5	Vårt bibliotek har ingen spesifikt tilsette!	1		0		2	2		2	2		2	Vi er ein liten høgskule, der bibliotekfunksjonen er fordelt på oss tilsette	4 minutter 33 sekunder
12704503	1	hoy		hele		lite	ost	2	4	3	2	3		2	2	5	5	5	5	5		2	0	0		1	2		1	0		1		3 minutter 49 sekunder
12704582	1	hoy		hele		stort	vest	3	3	1	2	3		5	4	4	4	4	5	5		0	1	1	Dataverse ved UiT		1			2		0		3 minutter 14 sekunder
12705097	1	uni		hele		medium	vest	4	4	4	4	4		4	4	5	5	4	5	5		1		0		0	1	Nettkurs i Open Science, nettkurs i open access publisering, DMP-workshop, research-data-tjeneste		1	Møter/kurs der man går gjennom prinsipper innen open science.			8 minutter 49 sekunder
12705128	1	hoy		hele		medium	ost	4	3	2	3	2		5	2	5	5	5	5	5		1		1	Dataverse		1	Digitale nettkurs og workshops		1	Faglig kvarter, nettkurs			4 minutter 25 sekunder
12705144	1	uni		hele		stort	vest	4	4	4	4	4		4	4	4	5	5	5	5	Viktig at bibliotekene ikke tror at de aleiene kan løse oppgaven. Forutsetter på tvers samarbeid institusjonelt, nasjonalt og internasjonalt med utgangspunkt i norske retningslinjer.	1		1			1			1				4 minutter 23 sekunder
12705280	1	uni		hele		stort	ost	4	4	4	4	4		2	4	5	5	5	5	5		1		1	Figshare		1	Online kurs, intergrert opplegg i andre kurs		2		0		2 minutter 45 sekunder
